Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 AISNE,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-aisne_laon_AXA_kAJZVdZ
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 Flavy Le Martel,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-flavy-le-martel_laon_AXA_J5DKyLg
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 LAON,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-laon_laon_AXA_kZ0zNg2
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 SOISSONS,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-soissons_laon_AXA_9pe9zJm
Agent Général d'Assurance (F/H) - Indépendant - Dpt 03 Château Thierry,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-03-chateau-thierry_laon
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 LAON,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-laon_laon_AXA_j9jRPDr
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 ST QUENTIN,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-st-quentin_laon
Concrete Batch Plant Superintendent M/F M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Norfolk,,VINCI CONSTRUCTION,117000,4 hours ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/concrete-batch-plant-superintendent-m-f-m-f_norfolk
Utility Manager M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Norfolk,,VINCI CONSTRUCTION,117000,1 days ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/utility-manager-m-f_norfolk
Senior Accountant,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,No remote work,,4400,1 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/senior-accountant_suwanee
"Assistant Manager, Palm Beach",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Palm Beach,,"Luxury, Selective Distribution",26494,3 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-palm-beach_palm-beach_HERMS_LOqkL5M
"Senior Regional Asset Protection Manager, Western Region",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Beverly Hills,,"Luxury, Selective Distribution",26494,4 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-regional-asset-protection-manager-western-region_beverly-hills_HERMS_Xry8KLp
Senior Accountant,L-Acoustics,Systèmes de sonorisation professionnelle haut de gamme.,Permanent contract,Westlake Village,A few days at home,"Software, Music",1000,4 days ago,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/senior-accountant_westlake
Casual Auditor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Los Angeles,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/volvo-auditor_los-angeles
Implementation Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Las Vegas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_las-vegas_MI_g0YPA57
"GMD Non-Flow Credit Repo Trader, Associate",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,2 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/gmd-non-flow-credit-repo-trader-associate_new-york
US Analyst - Corporate and Leveraged Finance - Fund Solutions Group North America,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,US Analyst - Corporate and Leveraged Finance - Fund Solutions Group North America,10400,2 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-corporate-and-leveraged-finance-fund-solutions-group-north-america_new-york
"VP, Enterprise Risk Management and Regulatory Change",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,3 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-enterprise-risk-management-and-regulatory-change_new-york
Head of Finance,Believe,Développement d'artistes et services musicaux personnalisés.,Permanent contract,Miami,,Head of Finance,2037,4 days ago,https://www.welcometothejungle.com/en/companies/believe-digital/jobs/head-of-finance_miami
eCommerce Operations Intern (2026 Semester 2) - Generation H,Hermès,Objets de luxe artisanaux et créatifs.,Internship,Manhattan,,"Luxury, Selective Distribution",26494,8 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/ecommerce-operations-intern-2026-semester-2-generation-h_manhattan
Implementation Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/entry-level-openings-for-college-graduates-la-san-francisco-boston-nyc-chicago-and-philadephia_southfield
Analytics Intern,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Internship,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/analytics-intern_southfield_MI_eojoq60
Analytics Intern,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Internship,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/analytics-intern_southfield
2026 Global Markets Division - Summer Intern Program,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Internship,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,7 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/2026-global-markets-division-summer-intern-program_new-york
AI Analyst Co-op,Mirakl,Solutions logicielles pour e-commerce et marketplaces.,Permanent contract,Boston,A few days at home,Solutions logicielles pour e-commerce et marketplaces.,750,10 days ago,https://www.welcometothejungle.com/en/companies/mirakl/jobs/ai-analyst-co-op_boston
Hybrid District Manager Parts & Service,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Richmond,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/hybrid-district-manager-parts-service_richmond
Casual Auditor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Dallas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,9 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/volvo-auditor_dallas
AI Healthcare & Life Sciences Solutions Consultant,Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,No remote work,AI Healthcare & Life Sciences Solutions Consultant,1000,9 days ago,https://www.welcometothejungle.com/en/companies/dataiku/jobs/ai-healthcare-life-sciences-solutions-consultant_new-york
"Stock Controller, Maison Madison",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,New York,,"Luxury, Selective Distribution",26494,13 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/stock-controller-maison-madison_new-york_HERMS_WkAgoGz
Warranty Claim Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-claim-assessor_southfield
Compliance Risk Assessment Officer - VP,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/compliance-risk-assessment-officer-vp_new-york
US Analyst - Loan Origination Support,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-loan-origination-support_new-york_CAC_ldmy5q2
"VP, Regulatory Reporting Analyst",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-regulatory-reporting-analyst_new-york
VP Lead Auditor - Financial Controls and Regulatory Reporting,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-lead-auditor-financial-controls-and-regulatory-reporting_new-york
"Vice President, Senior ALM Specialist",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vice-president-senior-alm-specialist_new-york
Compliance Data Analytics and Reporting Associate,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/compliance-data-analytics-and-reporting-associate_new-york
Regional Service Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,,4400,13 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/regional-service-manager_watertown
"Assistant Manager, San Diego",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,San Diego,,"Luxury, Selective Distribution",26494,17 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-san-diego_san-diego_HERMS_lw4Z1dZ
"Assistant Manager, Las Vegas Crystals",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Las Vegas,,"Luxury, Selective Distribution",26494,17 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-las-vegas-crystals_las-vegas_HERMS_q71jLlg
"Assistant Manager, Boston",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Boston,,"Luxury, Selective Distribution",26494,17 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-boston_boston_HERMS_7q38AM
Global Investment Banking - ECM and M&A Summer 2026 Intern,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Internship,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,16 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/global-investment-banking-ecm-and-m-a-summer-2026-intern_new-york
Technical Solutions Manager,Nabla,AI assistant for streamlining clinical documentation in healthcare.,Permanent contract,New York,Fully-remote,AI assistant for streamlining clinical documentation in healthcare.,120,17 days ago,https://www.welcometothejungle.com/en/companies/nabla/jobs/technical-solutions-manager_new-york_NABLA_yPZ5WP9
Technical Manager,Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,New York,A few days at home,"IT / Digital, Strategy",500,16 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/technical-manager_new-york
Service Lane Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,18 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/service-lane-specialist_cedar-rapids
"Asset Protection Specialist, Maison Madison",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,New York,,"Luxury, Selective Distribution",26494,21 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/asset-protection-specialist-maison-madison_new-york_HERMS_wMVOXax
Internal Controller,Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Manhattan,,"Luxury, Selective Distribution",26494,21 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/internal-controller_manhattan_HERMS_z3w3A7L
Accounts Payable Coordinator,Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Manhattan,,"Luxury, Selective Distribution",26494,21 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/accounts-payable-coordinator_manhattan_HERMS_D3rw610
"Trade Marketing & Operations Intern - Saint Louis, (2026 Semester 2) - Generation H",Hermès,Objets de luxe artisanaux et créatifs.,Internship,Manhattan,,"Trade Marketing & Operations Intern - Saint Louis, (2026 Semester 2) - Generation H",26494,22 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/trade-marketing-operations-intern-saint-louis-2026-semester-2-generation-h_manhattan
Financial Analyst,Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Manhattan,,"Luxury, Selective Distribution",26494,22 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/financial-analyst_manhattan
Entrepreneur en Gestion de Patrimoine (F/H) - Dpt 02,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,23 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/entrepreneur-en-gestion-de-patrimoine-f-h-dpt-02_laon_AXA_V49Z2Me
EPM / CPM Consulting Manager,MeltOne Advisory,Conseil en management et systèmes d'information pour la transformation.,Permanent contract,New York,No remote work,EPM / CPM Consulting Manager,200,23 days ago,https://www.welcometothejungle.com/en/companies/meltone-advisory/jobs/epm-cpm-consulting-manager_paris
Warranty Auditor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Diego,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,22 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-auditor_washington_MI_eqrgMNY
Warranty Auditor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Washington,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,22 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-auditor_washington_MI_J25D9Z8
Receiving Clerk,Nexans,Solutions de câblage pour la transition énergétique.,Permanent contract,Goose Creek,No remote work,"Specialised Engineering, Environment / Sustainable Development",28500,22 days ago,https://www.welcometothejungle.com/en/companies/nexans/jobs/receiving-clerk_goose-creek
"Assistant Manager, Maison Madison Flagship",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,New York,,"Luxury, Selective Distribution",26494,25 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-maison-madison-flagship_new-york
"Applied AI, Senior MLOps Engineer - NYC",Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,New York,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,24 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/applied-ai-engineer-ml-infra-palo-alto_palo-alto
"Leveraged, Acquisition & TMT Finance Americas - Portfolio Management - Analyst",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Leveraged, Acquisition & TMT Finance Americas - Portfolio Management - Analyst",10400,23 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/leveraged-acquisition-tmt-finance-americas-portfolio-management-analyst_new-york_CAC_5ZdVp9L
VP - RPC Project Finance Credit Analyst,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,VP - RPC Project Finance Credit Analyst,10400,23 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-rpc-project-finance-credit-analyst_new-york_CAC_goqd40N
Analyst - Distressed Assets M/F,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,23 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/analyst-distressed-assets-m-f_new-york
